Test,Function,Failed,Passed,Occurrence_Count,Failure_Count,Success_Count,Tarantula_Score,SBI_Score,Jaccard_Score,Ochiai_Score,Average_Score
testReplaceDataset,org/jfree/chart/plot/CategoryPlot:setDataset:(Lorg/jfree/data/category/CategoryDataset;)V,False,True,15,3.0,12.0,0.9457167090754878,0.2,0.06818181818181818,0.13693063937629152,0.33770729165839936
testSerialization,org/jfree/chart/renderer/category/AreaRenderer:equals:(Ljava/lang/Object;)Z,False,True,9,2.0,7.0,0.9521776259607173,0.2222222222222222,0.05128205128205128,0.11785113019775793,0.3358832574156872
testEquals,org/jfree/data/xy/DefaultIntervalXYDataset:equals:(Ljava/lang/Object;)Z,False,True,4,1.0,3.0,0.9587274290627688,0.25,0.02857142857142857,0.08838834764831843,0.33142180132062893
testSerialization,org/jfree/chart/axis/DateTickUnitType:readResolve:()Ljava/lang/Object;,False,True,4,1.0,3.0,0.9587274290627688,0.25,0.02857142857142857,0.08838834764831843,0.33142180132062893
testGeneral,org/jfree/data/general/DefaultHeatMapDataset:setZValue:(IID)V,False,True,4,1.0,3.0,0.9587274290627688,0.25,0.02857142857142857,0.08838834764831843,0.33142180132062893
testBug2201869,org/jfree/chart/axis/DateAxis$DefaultTimeline:containsDomainValue:(Ljava/util/Date;)Z,False,True,4,1.0,3.0,0.9587274290627688,0.25,0.02857142857142857,0.08838834764831843,0.33142180132062893
testCloning,org/jfree/chart/event/AxisChangeEvent:getAxis:()Lorg/jfree/chart/axis/Axis;,False,True,4,1.0,3.0,0.9587274290627688,0.25,0.02857142857142857,0.08838834764831843,0.33142180132062893
testGetRangeBounds2,org/jfree/data/time/TimeSeriesCollection:getSeries:(Ljava/lang/Comparable;)Lorg/jfree/data/time/TimeSeries;,False,True,4,1.0,3.0,0.9587274290627688,0.25,0.02857142857142857,0.08838834764831843,0.33142180132062893
testCloning,org/jfree/chart/title/PaintScaleLegend:<init>:(Lorg/jfree/chart/renderer/PaintScale;Lorg/jfree/chart/axis/ValueAxis;)V,False,True,4,1.0,3.0,0.9587274290627688,0.25,0.02857142857142857,0.08838834764831843,0.33142180132062893
testSerialization,org/jfree/chart/axis/DateTickMarkPosition:readResolve:()Ljava/lang/Object;,False,True,4,1.0,3.0,0.9587274290627688,0.25,0.02857142857142857,0.08838834764831843,0.33142180132062893
testCloning,org/jfree/chart/title/PaintScaleLegend:axisChanged:(Lorg/jfree/chart/event/AxisChangeEvent;)V,False,True,4,1.0,3.0,0.9587274290627688,0.25,0.02857142857142857,0.08838834764831843,0.33142180132062893
testCloning,org/jfree/chart/title/PaintScaleLegend:equals:(Ljava/lang/Object;)Z,False,True,4,1.0,3.0,0.9587274290627688,0.25,0.02857142857142857,0.08838834764831843,0.33142180132062893
testEquals,org/jfree/chart/plot/RingPlot:<init>:(Lorg/jfree/data/general/PieDataset;)V,True,False,4,1.0,3.0,0.9587274290627688,0.25,0.02857142857142857,0.08838834764831843,0.33142180132062893
testDrawWithNullInfo,org/jfree/chart/ChartFactory:createTimeSeriesChart:(Ljava/lang/String;Ljava/lang/String;Ljava/lang/String;Lorg/jfree/data/xy/XYDataset;ZZZ)Lorg/jfree/chart/JFreeChart;,False,True,4,1.0,3.0,0.9587274290627688,0.25,0.02857142857142857,0.08838834764831843,0.33142180132062893
testHashCode,org/jfree/chart/labels/SymbolicXYItemLabelGenerator:equals:(Ljava/lang/Object;)Z,True,False,4,1.0,3.0,0.9587274290627688,0.25,0.02857142857142857,0.08838834764831843,0.33142180132062893
testGeneral,org/jfree/data/general/DefaultHeatMapDataset:<init>:(IIDDDD)V,False,True,4,1.0,3.0,0.9587274290627688,0.25,0.02857142857142857,0.08838834764831843,0.33142180132062893
testCloning,org/jfree/chart/renderer/xy/StackedXYAreaRenderer:equals:(Ljava/lang/Object;)Z,False,True,4,1.0,3.0,0.9587274290627688,0.25,0.02857142857142857,0.08838834764831843,0.33142180132062893
testGeneral,org/jfree/data/general/DefaultHeatMapDataset:setZValue:(IIDZ)V,False,True,4,1.0,3.0,0.9587274290627688,0.25,0.02857142857142857,0.08838834764831843,0.33142180132062893
testCloning,org/jfree/data/xy/XIntervalSeriesCollection:equals:(Ljava/lang/Object;)Z,True,False,4,1.0,3.0,0.9587274290627688,0.25,0.02857142857142857,0.08838834764831843,0.33142180132062893
testEquals,org/jfree/chart/plot/RingPlot:equals:(Ljava/lang/Object;)Z,True,False,4,1.0,3.0,0.9587274290627688,0.25,0.02857142857142857,0.08838834764831843,0.33142180132062893
testCloning,org/jfree/data/statistics/SimpleHistogramBin:equals:(Ljava/lang/Object;)Z,True,False,4,1.0,3.0,0.9587274290627688,0.25,0.02857142857142857,0.08838834764831843,0.33142180132062893
test1170825,org/jfree/data/xy/XIntervalSeriesCollection:addSeries:(Lorg/jfree/data/xy/XIntervalSeries;)V,False,True,4,1.0,3.0,0.9587274290627688,0.25,0.02857142857142857,0.08838834764831843,0.33142180132062893
